"","Current (A)","CosPhi (Units)","Energy Consumption (kWh)","Reactive Energy (VARh)","Voltage (V)"
"2024-05-21 08:00:00","673.69540863826","0.0005191363279502","13.948894059572","9203280.5857661","12.02775239263"
"2024-05-21 09:00:00","487.04349085723","0.00039029933267022","9.8817518771871","6779328.444874","5.870246344328"
"2024-05-21 10:00:00","416.7608924095","0.00042758640746854","8.1968574165948","5880949.4429514","4.1152547284572"
"2024-05-21 11:00:00","145.08576200296","0.00025696689330697","2.2036595274275","2435338.4282232","1.706273793186"
"2024-05-21 12:00:00","393.51655354945","0.0004287926562121","7.6036692890891","5672445.8140612","0.0027307881292641"
"2024-05-21 13:00:00","316.72190294401","0.00033271408233304","5.9881488169362","4630828.699404","3.4300643337096"
"2024-05-21 14:00:00","294.73865174274","0.00023723912969206","5.5463183155778","4388354.9938336","1.2561318285797"
"2024-05-21 15:00:00","210.45697478039","0.00019725017545929","2.3807862100896","3144080.5698639","1.8216431803185"
"2024-05-21 16:00:00","220.08434620168","0.00021548726689166","3.3208572121388","3560906.8920909","0.38783292462968"
"2024-05-21 17:00:00","3.2355824694282","2.5733565408762E-5","0.40742599063798","265.09142203281","0.13598863716991"
"2024-05-21 18:00:00","200.70754263958","0.00026041466849907","3.1246588612761","2894209.9516695","3.0275598475941"
"2024-05-21 19:00:00","228.51867148266","0.00021406009262501","3.1433876261038","3405349.8827083","4.1484437682043"
"2024-05-21 20:00:00","366.58534386861","0.00032900952287246","4.856675692242","4810106.440222","5.8406976732914"
"2024-05-21 21:00:00","184.81070331834","0.00010987409073336","4.5171448511086","1718789.8343345","2.7985586486094"
"2024-05-21 22:00:00","400.04642209876","0.00023715986840822","5.4807482676444","4936064.0595338","3.2849565417315"
"2024-05-21 23:00:00","244.28769777152","0.00038431556696992","5.3248635569154","3541237.2350335","0.77336692914122"
"2024-05-22 00:00:00","320.73242290348","0.00022826862819523","5.3823739910104","3909771.449847","3.4468134925103"
"2024-05-22 01:00:00","337.04752069532","0.00027449912620256","5.5260207193879","4075985.181592","4.8972651797298"
"2024-05-22 02:00:00","82.882899260724","7.3678835168558E-6","2.075347648425","391834.99621422","0.69679094096588"
"2024-05-22 03:00:00","669.90900143263","0.0007694330116159","11.133894799968","9006644.2139386","0.32176631945654"
"2024-05-22 04:00:00","327.60610917439","0.00040647973242982","6.7738769531406","4899685.7749043","0.42184150970347"
"2024-05-22 05:00:00","163.51260540584","0.00011171881317189","0.44472812379763","2422366.6372502","0.11244272791337"
"2024-05-22 06:00:00","503.47391417107","0.00063925321102492","11.236757097021","7078977.0189001","0.7003685593782"
"2024-05-22 07:00:00","562.21877803083","0.00055909371354801","11.486581291022","7644259.7106472","5.8022168777404"
"2024-05-22 08:00:00","466.38806882095","0.00046015803238575","9.3553809334222","6441199.8685241","7.0591951636711"
"2024-05-22 09:00:00","408.13304378617","0.00040938535677526","8.0392140445148","5737792.1502448","7.0696985507754"
"2024-05-22 10:00:00","357.74024507564","0.00036604095834392","6.9081700799763","5126527.3462067","2.4755245475748"
"2024-05-22 11:00:00","315.47973704431","0.00033137815080764","5.9622272721736","4616395.3030043","0.89957376889426"
"2024-05-22 12:00:00","284.46939308578","0.00030576353333345","5.2746547037838","4238621.4512873","0.0066184199275417"
"2024-05-22 13:00:00","263.77197631542","0.00028835455351839","4.8200356684279","3983901.4842214","0.25489377113408"
"2024-05-22 14:00:00","157.09258655282","0.00018391753254635","2.3127504292102","2565493.9455677","5.0545965563113"
"2024-05-22 15:00:00","296.19525963046","0.00023657008878946","5.5860754638976","4405895.2915201","4.0359027032191"
"2024-05-22 16:00:00","275.90026813745","0.00021561199649289","5.1296618382884","4155313.5379673","1.5338573591537"
"2024-05-22 17:00:00","2.2758392615956","3.7953035535725E-5","0.2101559477724","109205.13762641","0.11713173694987"
"2024-05-22 18:00:00","227.96748738989","0.00023588886738325","4.6412140892729","3421726.2182248","0.041464785151809"
"2024-05-22 19:00:00","245.41023338757","0.00020678348007686","2.7165596227434","3175215.9712286","0.28670783196597"
"2024-05-22 20:00:00","288.3580803319","4.961921070176E-5","2.6878988023735","3187391.4209906","0.016371985953222"
