"","Current (A)","CosPhi (Units)","Energy Consumption (kWh)","Reactive Energy (VARh)","Voltage (V)"
"2024-05-24 07:00:00","1.29795","0.99849","0.38995","165.04105","219.99876"
"2024-05-24 08:00:00","0.03671","0.99739","0.01547","0","220.79881"
"2024-05-24 09:00:00","0","1","0.01547","0","220.54316"
"2024-05-24 10:00:00","0","1","0.01534","0","219.58606"
"2024-05-24 11:00:00","0","1","0.01547","0","220.26592"
"2024-05-24 12:00:00","0","1","0.01547","0","221.31813"
"2024-05-24 13:00:00","4.34074","0.9924","0.8897","431.27779","220.08718"
"2024-05-24 14:00:00","0","1","0.01547","0","220.11934"
"2024-05-24 15:00:00","4.88129","0.99699","1.0147","510.87963","220.52303"
"2024-05-24 16:00:00","6.93912","0.99384","1.26444","802.92372","222.00027"
"2024-05-24 17:00:00","4.11479","0.99777","0.7647","442.77699","221.06681"
"2024-05-24 18:00:00","6.58953","0.99671","1.38892","698.48015","223.21256"
"2024-05-24 19:00:00","16.85462","0.98594","2.63789","1848.35436","223.01285"
"2024-05-24 20:00:00","12.76369","0.98672","2.01366","1575.34389","222.30552"
"2024-05-24 21:00:00","12.13559","0.97662","2.63815","1573.85164","223.12854"
"2024-05-24 22:00:00","12.1346","0.98459","2.01341","1395.73137","222.15836"
"2024-05-24 23:00:00","14.90763","0.98211","2.26315","2228.61731","222.70902"
"2024-05-25 00:00:00","14.48161","0.98253","3.01263","1903.90447","222.55847"
"2024-05-25 01:00:00","8.72942","0.98939","1.38892","1049.70257","222.3539"
"2024-05-25 02:00:00","17.97824","0.98136","2.63815","2567.96016","222.95195"
"2024-05-25 03:00:00","8.10076","0.99124","2.01366","986.50098","222.59145"
"2024-05-25 04:00:00","13.95599","0.98386","2.01392","1853.69428","222.54012"
"2024-05-25 05:00:00","17.38732","0.9788","3.51238","1890.41561","222.4307"
"2024-05-25 06:00:00","13.6852","0.98984","2.51341","1566.77072","221.83624"
"2024-05-25 07:00:00","15.57739","0.98362","2.26341","2282.51429","223.06552"
