"","Current (A)","CosPhi (Units)","Energy Consumption (kWh)","Reactive Energy (VARh)","Voltage (V)"
"2024-05-21 08:00:00","26.026863098145","0.97328543663025","3.7502918243408","3033.6909179688","221.55601501465"
"2024-05-21 09:00:00","22.163581848145","0.97780400514603","3.1589953899384","2603.7143554688","221.53797912598"
"2024-05-21 10:00:00","20.414722442627","0.97932183742523","2.8784854412079","2425.0668945312","221.5400390625"
"2024-05-21 11:00:00","18.818035125732","0.98076981306076","2.6239128112793","2259.9150390625","221.54063415527"
"2024-05-21 12:00:00","19.837251663208","0.97929269075394","2.7729451656342","2381.6896972656","221.55111694336"
"2024-05-21 13:00:00","17.796682357788","0.98175954818726","2.462539434433","2151.9360351562","221.53999328613"
"2024-05-21 14:00:00","17.228174209595","0.98221743106842","2.3705322742462","2094.8400878906","221.54144287109"
"2024-05-21 15:00:00","16.839235305786","0.9825354218483","2.3076796531677","2055.6462402344","221.54231262207"
"2024-05-21 16:00:00","17.791090011597","0.98177051544189","2.4622719287872","2150.4497070312","221.53964233398"
"2024-05-21 17:00:00","18.191442489624","0.98145717382431","2.5272192955017","2190.2736816406","221.53840637207"
"2024-05-21 18:00:00","23.059968948364","0.97613263130188","3.281590461731","2720.2612304688","221.55345153809"
"2024-05-21 19:00:00","22.960144042969","0.9771192073822","3.2871401309967","2682.794921875","221.53579711914"
"2024-05-21 20:00:00","24.060388565063","0.97635138034821","3.4682266712189","2789.6459960938","221.53074645996"
"2024-05-21 21:00:00","24.290060043335","0.97651791572571","3.5140175819397","2802.3061523438","221.52333068848"
"2024-05-21 22:00:00","26.506000518799","0.97402000427246","3.8555397987366","3046.3454589844","221.53184509277"
"2024-05-21 23:00:00","26.235885620117","0.97464603185654","3.8217465877533","3007.171875","221.52459716797"
"2024-05-22 00:00:00","27.141263961792","0.97354143857956","3.9591743946075","3109.6616210938","221.52980041504"
"2024-05-22 01:00:00","27.348114013672","0.97324198484421","3.9894089698791","3134.7663574219","221.53204345703"
"2024-05-22 02:00:00","27.144874572754","0.97328561544418","3.9534966945648","3118.3342285156","221.53507995605"
"2024-05-22 03:00:00","29.811010360718","0.9697413444519","4.3511891365051","3427.8935546875","221.55598449707"
"2024-05-22 04:00:00","25.784862518311","0.97473865747452","3.7418472766876","2971.1818847656","221.53164672852"
"2024-05-22 05:00:00","25.465934753418","0.97458028793335","3.6800293922424","2951.98046875","221.54069519043"
"2024-05-22 06:00:00","26.747274398804","0.97269654273987","3.866827249527","3105.9865722656","221.55426025391"
"2024-05-22 07:00:00","23.711153030396","0.9763548374176","3.4046559333801","2764.8254394531","221.53797912598"
"2024-05-22 08:00:00","21.596019744873","0.97854870557785","3.0741267204285","2537.9519042969","221.53358459473"
"2024-05-22 09:00:00","20.202302932739","0.97976672649384","2.8508207798004","2395.3688964844","221.53511047363"
"2024-05-22 10:00:00","18.914022445679","0.98086780309677","2.6438097953796","2264.18359375","221.53684997559"
"2024-05-22 11:00:00","17.761749267578","0.98179620504379","2.4572372436523","2148.5798339844","221.53971862793"
"2024-05-22 12:00:00","16.866220474243","0.98251390457153","2.3121316432953","2058.7912597656","221.54223632812"
"2024-05-22 13:00:00","16.241058349609","0.98301899433136","2.2109279632568","1995.9713134766","221.54393005371"
"2024-05-22 14:00:00","15.931218147278","0.9832683801651","2.1607229709625","1964.7740478516","221.54469299316"
"2024-05-22 15:00:00","17.276634216309","0.98217916488647","2.3789579868317","2099.0224609375","221.541015625"
"2024-05-22 16:00:00","16.670415878296","0.9826762676239","2.2803456783295","2038.4586181641","221.54244995117"
"2024-05-22 17:00:00","16.819118499756","0.98256939649582","2.3047223091125","2053.0422363281","221.5418548584"
"2024-05-22 18:00:00","22.306772232056","0.97710132598877","3.1687877178192","2633.5346679688","221.54811096191"
"2024-05-22 19:00:00","22.127124786377","0.97821003198624","3.1626389026642","2586.4758300781","221.52941894531"
"2024-05-22 20:00:00","23.62393951416","0.9769259095192","3.4031412601471","2739.1296386719","221.52723693848"
"2024-05-22 21:00:00","25.091247558594","0.9755911231041","3.6371457576752","2891.1079101562","221.5266418457"
"2024-05-22 22:00:00","25.313650131226","0.97563081979752","3.678430557251","2907.2138671875","221.52192687988"
"2024-05-22 23:00:00","28.581289291382","0.97169482707977","4.175751209259","3274.6193847656","221.5394744873"
"2024-05-23 00:00:00","27.481822967529","0.97334164381027","4.0161933898926","3141.6293945312","221.52742004395"
"2024-05-23 01:00:00","27.71430015564","0.97286981344223","4.0468401908875","3173.9819335938","221.53262329102"
"2024-05-23 02:00:00","28.0947265625","0.97214126586914","4.0981259346008","3225.1218261719","221.5401763916"
"2024-05-23 03:00:00","26.782159805298","0.97351032495499","3.8930504322052","3084.2231445312","221.53747558594"
"2024-05-23 04:00:00","25.956489562988","0.97412246465683","3.7580523490906","3003.1638183594","221.54071044922"
"2024-05-23 05:00:00","24.382457733154","0.97560167312622","3.5082166194916","2839.0187988281","221.5406036377"
"2024-05-23 06:00:00","24.643449783325","0.9748837351799","3.5381033420563","2880.3271484375","221.54988098145"
"2024-05-23 07:00:00","23.107336044312","0.97659891843796","3.3009884357452","2711.6708984375","221.54426574707"
"2024-05-23 08:00:00","21.870824813843","0.97785246372223","3.1070508956909","2579.8166503906","221.54225158691"
"2024-05-23 09:00:00","28.606370925903","0.96956992149353","4.1281518936157","3341.0307617188","221.58140563965"
"2024-05-23 10:00:00","22.537879943848","0.97776383161545","3.2259430885315","2632.3645019531","221.53157043457"
"2024-05-23 11:00:00","185.62397766113","0.88307797908783","31.239496231079","17767.662109375","220.84707641602"
"2024-05-23 12:00:00","37.543224334717","0.96397346258163","5.6258187294006","4182.5102539062","221.52236938477"
"2024-05-23 13:00:00","33.765441894531","0.96912360191345","5.0575232505798","3741.6921386719","221.49464416504"
"2024-05-23 14:00:00","32.922672271729","0.97007805109024","4.9271993637085","3649.8479003906","221.49227905273"
"2024-05-23 15:00:00","31.112655639648","0.9716255068779","4.6343050003052","3467.7526855469","221.49742126465"
"2024-05-23 16:00:00","29.443838119507","0.97219544649124","4.3436427116394","3325.6440429688","221.51705932617"
"2024-05-23 17:00:00","27.265144348145","0.97265285253525","3.9578459262848","3147.8408203125","221.54750061035"
"2024-05-23 18:00:00","27.053981781006","0.97121071815491","3.885710477829","3175.6772460938","221.57765197754"
"2024-05-23 19:00:00","23.469694137573","0.97427570819855","3.3096885681152","2811.1164550781","221.58306884766"
"2024-05-23 20:00:00","23.362930297852","0.97376698255539","3.2777655124664","2818.0698242188","221.59561157227"
"2024-05-23 21:00:00","24.375123977661","0.97276544570923","3.4369261264801","2924.2709960938","221.59774780273"
"2024-05-23 22:00:00","25.982692718506","0.97121894359589","3.6910543441772","3091.9645996094","221.59841918945"
"2024-05-23 23:00:00","25.266736984253","0.97291940450668","3.6025152206421","2985.2690429688","221.57781982422"
"2024-05-24 00:00:00","25.787817001343","0.97311145067215","3.7019867897034","3018.4858398438","221.56416320801"
"2024-05-24 01:00:00","27.024589538574","0.97245514392853","3.9107577800751","3131.9633789062","221.55410766602"
"2024-05-24 02:00:00","30.108602523804","0.96920120716095","4.3912463188171","3464.3605957031","221.56156921387"
